Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
214,Adani Ports & Special Economic Zone Ltd.,201403,Indian Private Sector,1998,4358.59,299.86,1917.71,2141.02,2217.57,4058.73,49%,94.32%,1%
215,Adani Power Dahej Ltd.,201403,Indian Private Sector,2006,,,4.43,-4.43,4.43,,,,0%
216,Adani Power Ltd.,201403,Indian Private Sector,1996,10053.61,6520.37,2590.10,943.14,9110.47,3533.24,9%,,4%
217,Adani Power Maharashtra Ltd.,201403,Indian Private Sector,2007,2935.27,1984.51,725.68,225.08,2710.19,950.76,8%,,0%
218,Adani Power Rajasthan Ltd.,201403,Indian Private Sector,2008,1705.05,1393.66,324.05,-12.66,1717.71,311.39,-1%,,1%
219,Adani Power Resources Ltd.,201403,Indian Private Sector,2013,,,,,,,,,0%
220,Adani Shipping (India) Pvt. Ltd.,201403,Indian Private Sector,2010,2.58,,2.41,0.17,2.41,2.58,7%,100.00%,0%
221,Adani Transmission (India) Ltd.,201403,Indian Private Sector,2013,0.00,0.00,0.00,0.00,0.00,0.00,,,0%
222,Adani Transmission Ltd.,201403,Indian Private Sector,2013,0.00,,0.00,0.00,0.00,0.00,,,0%
223,Adani Vizag Coal Terminal Pvt. Ltd.,201403,Indian Private Sector,2011,0.00,0.00,0.02,-0.02,0.02,0.00,,,0%
224,Adani Warehousing Services Pvt. Ltd.,201403,Indian Private Sector,2012,1.24,0.01,1.03,0.20,1.04,1.23,16%,100.00%,0%
225,Adani Welspun Exploration Ltd.,201403,Indian Private Sector,2005,,0.00,8.52,-8.52,8.52,0.00,,,0%
226,Adani Wilmar Ltd.,201403,Indian Private Sector,1999,14790.26,13308.93,1481.68,-0.35,14790.61,1481.33,0%,0.03%,9%
227,Adarsh Mercantile Ltd.,201403,Indian Private Sector,1992,0.32,0.31,0.06,-0.05,0.37,0.01,-16%,0.00%,0%
228,Adarsh Plant Protect Ltd.,201403,Indian Private Sector,1992,7.86,5.22,2.63,0.01,7.85,2.64,0%,0.13%,18%
229,Add Energy Mgmt. Co. Pvt. Ltd.,201403,Indian Private Sector,2009,,,,,,,,,0%
230,Add Urban Enviro Ltd.,201403,Indian Private Sector,2008,,,0.00,0.00,0.00,,,,0%
231,Addi Industries Ltd.,201403,Indian Private Sector,1980,0.68,0.61,1.69,-1.62,2.30,0.07,-238%,0.00%,0%
232,Adeshwar Infrabuild Ltd.,201403,Indian Private Sector,2009,,,,,,,,,0%
233,Adhbhut Infrastructure Ltd.,201306,Indian Private Sector,1985,1.45,0.08,0.69,0.68,0.77,1.37,47%,100.00%,2%
234,Adhiraj Distributors Ltd.,201403,Indian Private Sector,2011,1.20,1.13,0.06,0.01,1.19,0.07,1%,0.00%,0%
235,Adhivitiya Properties Ltd.,201403,Indian Private Sector,1995,,,0.02,-0.02,0.02,,,,0%
236,Adhunik Corporation Ltd.,201403,Indian Private Sector,1996,275.86,203.78,54.46,17.62,258.24,72.08,6%,31.49%,0%
237,Adhunik Industries Ltd.,201403,Indian Private Sector,1979,438.88,382.41,24.90,31.57,407.31,56.47,7%,7.00%,2%
238,Adhunik Metaliks Ltd.,201306,Indian Private Sector,2001,1679.92,1162.93,341.56,175.43,1504.49,516.99,10%,0.00%,7%
239,Adhunik Power & Natural Resources Ltd.,201403,Indian Private Sector,2005,979.43,601.25,272.98,105.20,874.23,378.18,11%,,7%
240,Adi Finechem Ltd.,201403,Indian Private Sector,1985,152.33,96.24,24.94,31.15,121.18,56.09,20%,,2%
241,Adi Rasayan Ltd.,201403,Indian Private Sector,1992,,,0.03,-0.03,0.03,,,,0%
242,Adinath Bio-Labs Ltd.,201403,Indian Private Sector,1982,1.00,0.04,0.95,0.01,0.99,0.96,1%,0.00%,36%
243,Adinath Exim Resources Ltd.,201403,Indian Private Sector,1995,0.19,,0.12,0.07,0.12,0.19,37%,,32%
244,Adinath Textiles Ltd.,201403,Indian Private Sector,1979,1.79,0.07,1.38,0.34,1.45,1.72,19%,51.40%,5%
245,Adisons Precision Instruments Mfg. Co. Ltd.,201403,Indian Private Sector,1999,0.00,0.02,0.00,-0.02,0.02,-0.02,,,0%
246,Aditya Birla Capital Advisors Pvt. Ltd.,201403,Indian Private Sector,2008,24.03,,13.66,10.37,13.66,24.03,43%,96.50%,0%
247,Aditya Birla Chemicals (India) Ltd.,201403,Indian Private Sector,1976,1074.80,624.96,273.16,176.68,898.12,449.84,16%,0.00%,6%
248,Aditya Birla Commodities Broking Ltd.,201403,Indian Private Sector,2003,10.11,0.03,11.02,-0.94,11.05,10.08,-9%,,1%
249,Aditya Birla Finance Ltd.,201403,Indian Private Sector,1991,159.91,3.42,199.10,-42.61,202.52,156.49,-27%,,10%
250,Aditya Birla Financial Services Ltd.,201403,Indian Private Sector,2007,,0.61,1.12,-1.73,1.73,-0.61,,,0%
251,Aditya Birla Financial Shared Services Ltd.,201403,Indian Private Sector,2008,,,-0.87,0.87,-0.87,,,,0%
252,Aditya Birla Health Services Ltd.,201403,Indian Private Sector,2001,133.46,0.01,121.46,11.99,121.47,133.45,9%,100.00%,0%
253,Aditya Birla Housing Finance Ltd.,201403,Indian Private Sector,2009,0.00,0.01,0.01,-0.02,0.02,-0.01,,,0%
254,Aditya Birla Insurance Brokers Ltd.,201403,Indian Private Sector,2001,82.12,0.13,64.38,17.61,64.51,81.99,21%,1.52%,76%
255,Aditya Birla Minacs Worldwide Ltd.,201403,Indian Private Sector,1995,396.94,0.14,341.34,55.46,341.48,396.80,14%,100.00%,1%
256,Aditya Birla Money Insurance Advisory Services Ltd.,201403,Indian Private Sector,2001,6.48,0.01,5.60,0.87,5.61,6.47,13%,,1%
257,Aditya Birla Money Ltd.,201403,Indian Private Sector,1995,57.99,0.62,74.06,-16.69,74.68,57.37,-29%,0.29%,1%
258,Aditya Birla Money Mart Ltd.,201403,Indian Private Sector,1997,60.11,0.03,61.89,-1.81,61.92,60.08,-3%,15.21%,6%
259,Aditya Birla Nuvo Ltd.,201403,Indian Private Sector,1956,8033.00,4094.33,3236.56,702.11,7330.89,3938.67,9%,0.11%,21%
260,Aditya Birla Online Fashion Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
261,Aditya Birla Retail Ltd.,201403,Indian Private Sector,1988,2510.61,2075.69,722.00,-287.08,2797.69,434.92,-11%,0.00%,5%
262,Aditya Birla Telecom Ltd.,201403,Indian Private Sector,2005,0.82,0.81,0.54,-0.53,1.35,0.01,-65%,0.00%,4%
263,Aditya Birla Trustee Co. Pvt. Ltd.,201403,Indian Private Sector,2008,0.07,,0.02,0.05,0.02,0.07,71%,100.00%,0%
264,Aditya Forge Ltd.,201403,Indian Private Sector,1992,19.77,16.60,3.43,-0.26,20.03,3.17,-1%,0.00%,0%
265,Aditya Ispat Ltd.,201403,Indian Private Sector,1990,29.14,26.98,0.92,1.24,27.90,2.16,4%,0.00%,0%
266,Aditya Medisales Ltd.,201403,Indian Private Sector,1990,2003.01,1948.55,29.92,24.54,1978.47,54.46,1%,1.38%,3%
267,Aditya Mills Ltd.,201403,Indian Private Sector,1960,1.31,0.06,0.62,0.63,0.68,1.25,48%,100.00%,0%
268,Adityapur Toll Bridge Co. Ltd.,201403,Indian Private Sector,1996,3.36,0.00,2.61,0.75,2.61,3.36,22%,100.00%,0%
269,Adlabs Entertainment Ltd.,201403,Indian Private Sector,2010,103.81,5.85,124.63,-26.67,130.48,97.96,-26%,93.85%,16%
270,Ad-Manum Finance Ltd.,201403,Indian Private Sector,1986,1.88,0.02,9.47,-7.61,9.49,1.86,-405%,,75%
271,Adone Hotels & Hospitality Ltd.,201403,Indian Private Sector,2006,0.00,,0.05,-0.05,0.05,0.00,,,0%
272,Adonis Vyaper Pvt. Ltd.,201403,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,,0%
273,Ador Fontech Ltd.,201403,Indian Private Sector,1974,139.46,80.17,41.76,17.53,121.93,59.29,13%,9.49%,11%
274,Ador Multiproducts Ltd.,201403,Indian Private Sector,1948,9.91,8.35,3.07,-1.51,11.42,1.56,-15%,5.45%,1%
275,Ador Powertron Ltd.,201403,Indian Private Sector,1995,70.00,46.57,24.50,-1.07,71.07,23.43,-2%,3.94%,7%
276,Ador Welding Academy Pvt. Ltd.,201403,Indian Private Sector,2012,0.70,0.10,1.30,-0.70,1.40,0.60,-100%,91.43%,3%
277,Ador Welding Ltd.,201403,Indian Private Sector,1951,370.91,252.39,91.14,27.38,343.53,118.52,7%,0.01%,3%
278,Adrenalin Esystems Ltd.,201403,Indian Private Sector,2002,28.26,,21.75,6.51,21.75,28.26,23%,86.59%,9%
279,Adtech Systems Ltd.,201403,Indian Private Sector,1990,75.87,59.09,7.79,8.99,66.88,16.78,12%,4.59%,7%
280,Advance Buildcon Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
281,Advance Lifestyles Ltd.,201403,Indian Private Sector,1988,-0.01,0.00,0.45,-0.46,0.45,-0.01,4600%,0.00%,0%
282,Advance Metering Technology Ltd.,201403,Indian Private Sector,2011,14.88,4.57,20.08,-9.77,24.65,10.31,-66%,2.96%,15%
283,Advance Multitech Ltd.,201403,Indian Private Sector,1979,9.04,4.74,3.41,0.89,8.15,4.30,10%,35.40%,3%
284,Advance Petrochemicals Ltd.,201403,Indian Private Sector,1985,12.66,10.54,1.52,0.60,12.06,2.12,5%,0.00%,3%
285,Advance Powerinfra Tech Ltd.,201403,Indian Private Sector,1994,11.26,10.52,0.83,-0.09,11.35,0.74,-1%,0.00%,0%
286,Advanced Adhesives Ltd.,201403,Indian Private Sector,2009,22.98,16.44,2.55,3.99,18.99,6.54,17%,,1%
287,Advanced Enzyme Technologies Ltd.,201403,Indian Private Sector,1989,126.70,44.55,66.86,15.29,111.41,82.15,12%,,11%
288,Advanced Micronic Devices Ltd.,201403,Indian Private Sector,1980,12.59,6.86,19.15,-13.42,26.01,5.73,-107%,1.67%,15%
289,Advani Hotels & Resorts (India) Ltd.,201403,Indian Private Sector,1987,41.28,,35.87,5.41,35.87,41.28,13%,96.34%,9%
290,Advanta Ltd.,201312,Indian Private Sector,1994,85.47,38.96,35.00,11.51,73.96,46.51,13%,12.80%,9%
291,Advent Computer Services Ltd.,201403,Indian Private Sector,1984,0.26,,0.23,0.03,0.23,0.26,12%,100.00%,0%
292,Advik Laboratories Ltd.,201403,Indian Private Sector,1994,30.40,26.23,1.89,2.28,28.12,4.17,7%,1.91%,1%
293,Advika Properties Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
294,Adyar Gate Hotels Ltd.,201403,Foreign Private Sector,1970,86.17,3.17,85.86,-2.86,89.03,83.00,-3%,88.87%,12%
295,Aegean Properties Ltd.,201403,Indian Private Sector,1995,0.18,,0.04,0.14,0.04,0.18,78%,,0%
296,Aegis Business Ltd.,201403,Indian Private Sector,2005,31.71,4.08,24.28,3.35,28.36,27.63,11%,75.28%,0%
297,Aegis Logistics Ltd.,201403,Foreign Private Sector,1956,371.09,235.13,99.51,36.45,334.64,135.96,10%,32.18%,4%
298,Aegis Ltd.,201403,Indian Private Sector,1992,680.80,2.50,676.90,1.40,679.40,678.30,0%,95.81%,0%
299,Aerens Goldsouk Intl. Ltd.,201403,Indian Private Sector,2003,138.92,116.67,16.43,5.82,133.10,22.25,4%,100.00%,4%
300,Aetn18 Media Pvt. Ltd.,201403,Indian Private Sector,2010,28.23,0.00,42.22,-13.99,42.22,28.23,-50%,97.20%,71%
301,Aevee Iron & Steel Works Pvt. Ltd.,201403,Indian Private Sector,1971,,,,,,,,,0%
302,Afcons Infrastructure Ltd.,201403,Indian Private Sector,1976,2705.72,940.36,1622.59,142.77,2562.95,1765.36,5%,98.03%,5%
303,Af-Taab Investment Co. Ltd.,201403,Indian Private Sector,1979,1.38,0.15,0.27,0.96,0.42,1.23,70%,98.55%,0%
304,Aftek Ltd.,201403,Indian Private Sector,1986,90.64,0.82,100.86,-11.04,101.68,89.82,-12%,82.07%,0%
305,Agaram Developers Pvt. Ltd.,201403,Indian Private Sector,2007,,,,,,,,,0%
306,Agarpara Jute Mills Ltd.,201403,Indian Private Sector,1984,105.11,67.88,40.25,-3.02,108.13,37.23,-3%,0.01%,5%
307,Agarwal Bolts Ltd.,201403,Indian Private Sector,1971,20.90,11.44,7.05,2.41,18.49,9.46,12%,,12%
308,Agarwal Duplex Board Mills Ltd.,201403,Indian Private Sector,1984,67.32,51.33,12.77,3.22,64.10,15.99,5%,,3%
309,Agarwal Industrial Corpn. Ltd.,201403,Indian Private Sector,1995,176.76,134.82,32.23,9.71,167.05,41.94,5%,15.65%,1%
310,Agastyamuni Hydro Power Pvt. Ltd.,201403,Indian Private Sector,2010,,,,,,,,,0%
311,Agio Paper & Inds. Ltd.,201403,Indian Private Sector,1984,0.51,0.14,1.37,-1.00,1.51,0.37,-196%,,0%
312,Aglow Steels Ltd.,201403,Indian Private Sector,2013,,,,,,,,,0%
313,Agricultural Finance Corpn. Ltd.,201403,Central Government,1968,25.35,,24.61,0.74,24.61,25.35,3%,100.00%,0%
314,Agrima Consultants Intl. Ltd.,201403,Foreign Private Sector,1986,0.00,0.08,0.13,-0.21,0.21,-0.08,,,0%
315,Agrimas Chemicals Ltd.,201403,Indian Private Sector,1973,137.61,96.89,34.68,6.04,131.57,40.72,4%,0.00%,27%
316,Agrimony Commodities Ltd.,201403,Indian Private Sector,1991,41.74,41.53,0.17,0.04,41.70,0.21,0%,0.00%,0%
317,Agri-Tech (India) Ltd.,201403,Indian Private Sector,1993,0.07,0.05,0.44,-0.42,0.49,0.02,-600%,,0%
318,Agro Chem Punjab Ltd.,201403,Indian Private Sector,1984,,,,,,,,,0%
319,Agro Dutch Inds. Ltd.,201403,Indian Private Sector,1992,11.49,10.99,28.09,-27.59,39.08,0.50,-240%,,6%
320,Agro Tech Foods Ltd.,201403,Foreign Private Sector,1986,762.32,518.45,186.73,57.14,705.18,243.87,7%,0.00%,25%
321,Ahlcon Parenterals (India) Ltd.,201403,Foreign Private Sector,1992,120.78,46.29,42.02,32.47,88.31,74.49,27%,29.34%,16%
322,Ahluwalia Contracts (India) Ltd.,201403,Indian Private Sector,1979,978.20,454.54,490.29,33.37,944.83,523.66,3%,96.46%,0%
323,Ahmadpur Katwa Railway Co. Ltd.,201403,Indian Private Sector,1914,,,0.00,0.00,0.00,,,,0%
324,Ahmedabad Ring Road Infrastructure Ltd.,201403,Indian Private Sector,2006,73.80,0.73,56.99,16.08,57.72,73.07,22%,99.95%,0%
325,Ahmedabad Steelcraft Ltd.,201403,Indian Private Sector,1972,11.83,9.43,2.47,-0.07,11.90,2.40,-1%,0.00%,19%
326,Ahmedabad Stock Exchange Ltd.,201403,Indian Private Sector,2005,2.56,0.16,2.40,0.00,2.56,2.40,0%,21.88%,0%
327,Ahmedabad-Vadodara Expressway Co. Ltd.,201403,Central Government,2000,0.00,,0.35,-0.35,0.35,0.00,,,0%
328,Aikyam Intellectual Property Consultancy Ltd.,201403,Indian Private Sector,1978,,,0.06,-0.06,0.06,,,,0%
329,Aimco Pesticides Ltd.,201403,Indian Private Sector,1987,139.96,119.44,18.31,2.21,137.75,20.52,2%,0.00%,8%
330,Aimil Ltd.,201403,Foreign Private Sector,1932,182.96,89.56,78.68,14.72,168.24,93.40,8%,29.57%,10%
331,Air Control & Chemical Engg. Co. Ltd.,201403,Foreign Private Sector,1961,33.32,17.26,11.03,5.03,28.29,16.06,15%,2.16%,4%
332,Air India Ltd.,201403,Central Government,2007,18804.67,48.53,22409.20,-3653.06,22457.73,18756.14,-19%,97.69%,1%
333,Air Kerala Intl. Services Ltd.,201403,Central Government,2006,0.00,,0.01,-0.01,0.01,0.00,,,0%
334,Aircel Cellular Ltd.,201403,Indian Private Sector,1997,674.78,22.46,649.25,3.07,671.71,652.32,0%,97.30%,34%
335,Aircel Ltd.,201403,Indian Private Sector,1994,4445.69,28.99,5661.82,-1245.12,5690.81,4416.70,-28%,99.23%,29%
336,Airmid Developers Ltd.,201403,Indian Private Sector,2007,0.02,-0.01,0.37,-0.34,0.36,0.03,-1700%,,0%
337,Airtel Broadband Services Pvt. Ltd. [Merged],201403,Indian Private Sector,2007,0.00,0.08,14.58,-14.66,14.66,-0.08,,,0%
338,Airtel M Commerce Services Ltd.,201403,Indian Private Sector,2010,37.66,0.39,146.97,-109.70,147.36,37.27,-291%,100.00%,695%
339,Aishwarya Technologies & Telecom Ltd.,201403,Indian Private Sector,1995,26.76,17.90,6.86,2.00,24.76,8.86,7%,0.00%,5%
340,Ajanta Paper & General Products Ltd.,201403,Indian Private Sector,1962,12.03,5.91,8.21,-2.09,14.12,6.12,-17%,,0%
341,Ajanta Pharma Ltd.,201403,Indian Private Sector,1979,1109.92,363.05,437.89,308.98,800.94,746.87,28%,0.18%,35%
342,Ajanta Soya Ltd.,201403,Indian Private Sector,1992,473.18,451.15,20.26,1.77,471.41,22.03,0%,0.00%,3%
343,Ajcon Finance Ltd.,201403,Indian Private Sector,1994,0.65,,0.19,0.46,0.19,0.65,71%,,0%
344,Ajcon Global Services Ltd.,201403,Indian Private Sector,1986,4.17,,4.14,0.03,4.14,4.17,1%,66.43%,6%
345,Ajeet Seeds Pvt. Ltd.,201403,Indian Private Sector,1986,405.68,126.60,201.61,77.47,328.21,279.08,19%,,49%
346,Ajel Ltd.,201403,Indian Private Sector,1994,9.29,0.07,8.78,0.44,8.85,9.22,5%,100.00%,0%
347,Ajmera Realty & Infra India Ltd.,201403,Indian Private Sector,1985,0.00,-87.83,89.23,-1.40,1.40,87.83,,,0%
348,Ajwa Fun World & Resort Ltd.,201403,Indian Private Sector,1992,3.59,0.00,4.00,-0.41,4.00,3.59,-11%,101.11%,13%
349,Akanksha Viniyog Ltd.,201403,Indian Private Sector,1982,,0.00,0.05,-0.05,0.05,0.00,,,0%
350,Akar Tools Ltd.,201403,Indian Private Sector,1989,142.55,94.84,41.50,6.21,136.34,47.71,4%,,7%
351,Akasaka Electronics Ltd.,201403,Indian Private Sector,2002,12.98,7.01,8.31,-2.34,15.32,5.97,-18%,,3%
352,Akash Agro Inds. Ltd.,201403,Indian Private Sector,1991,279.91,268.30,9.35,2.26,277.65,11.61,1%,,5%
353,Akasha Syncotex Pvt. Ltd.,201403,Indian Private Sector,1994,,,7.68,-7.68,7.68,,,,0%
354,Akashdeep Metal Inds. Ltd.,201403,Indian Private Sector,1983,,,0.03,-0.03,0.03,,,,0%
355,Akashna Global Steel Ltd.,201403,Indian Private Sector,1911,0.07,,0.06,0.01,0.06,0.07,14%,100.00%,0%
356,Aklima Properties Pvt. Ltd.,201403,Indian Private Sector,2008,,,,,,,,,0%
357,Akme Star Housing Finance Ltd.,201403,Indian Private Sector,2005,,0.01,0.45,-0.46,0.46,-0.01,,,0%
358,Aksh Optifibre Ltd.,201403,Indian Private Sector,1986,227.07,142.40,58.81,25.86,201.21,84.67,11%,3.58%,5%
359,Aksharchem (India) Ltd.,201403,Indian Private Sector,1989,144.88,82.14,31.15,31.59,113.29,62.74,22%,,5%
360,Akshat Consultancy Ltd.,201403,Indian Private Sector,1979,,,0.06,-0.06,0.06,,,,0%
361,Akshat Gases Ltd.,201403,Indian Private Sector,1986,,,0.00,0.00,0.00,,,,0%
362,Akshata Cashew Products Ltd.,201403,Indian Private Sector,1994,,,0.09,-0.09,0.09,,,,0%
363,Akshay Fiscal Services Ltd.,201403,Indian Private Sector,1990,7.08,7.37,0.24,-0.53,7.61,-0.29,-7%,0.00%,1%
364,Akshay Software Technologies Ltd.,201403,Indian Private Sector,1987,23.15,0.05,22.68,0.42,22.73,23.10,2%,98.32%,1%
365,Akshralay Enterprises Ltd.,201403,Indian Private Sector,1993,0.02,0.01,0.18,-0.17,0.19,0.01,-850%,0.00%,450%
366,Akums Drugs & Pharmaceuticals Ltd.,201403,Indian Private Sector,2004,896.89,611.14,158.49,127.26,769.63,285.75,14%,,1%
367,Akzo Nobel India Ltd.,201403,Foreign Private Sector,1954,2416.50,1398.30,868.90,149.30,2267.20,1018.20,6%,1.15%,34%
368,Al Falah Blossoms Ltd.,201403,Indian Private Sector,1996,-0.17,0.04,0.36,-0.57,0.40,-0.21,335%,,0%
369,Alacrity Housing Ltd.,201403,Indian Private Sector,1992,,0.02,0.16,-0.18,0.18,-0.02,,,0%
370,Alacrity Securities Ltd.,201403,Indian Private Sector,1994,1.08,,0.85,0.23,0.85,1.08,21%,,0%
371,Alaknanda Hydro Power Co. Ltd.,201403,Indian Private Sector,1996,,,0.30,-0.30,0.30,,,,0%
372,Alan Scott Inds. Ltd.,201403,Indian Private Sector,1994,0.10,0.00,0.13,-0.03,0.13,0.10,-30%,,60%
373,Alang Industrial Gases Ltd.,201403,Indian Private Sector,1995,,,0.01,-0.01,0.01,,,,0%
374,Alankit Ltd.,201403,Indian Private Sector,1989,1.67,,0.49,1.18,0.49,1.67,71%,74.85%,2%
375,Alba Asia Pvt. Ltd.,201403,Indian Private Sector,2008,17.79,2.21,17.39,-1.81,19.60,15.58,-10%,99.49%,1%
376,Alba Marine Pvt. Ltd.,201403,Indian Private Sector,2010,,0.01,0.10,-0.11,0.11,-0.01,,,0%
377,Albasta Wholesale Services Ltd.,201403,Indian Private Sector,2008,,,0.01,-0.01,0.01,,,,0%
378,Albert David Ltd.,201403,Indian Private Sector,1938,290.56,109.71,157.15,23.70,266.86,180.85,8%,0.00%,41%
379,Alcatel-Lucent India Ltd.,201403,Foreign Private Sector,1992,1260.29,185.58,1006.11,68.60,1191.69,1074.71,5%,98.00%,0%
380,Alchemist Corporation Ltd.,201403,Indian Private Sector,1993,,0.02,0.18,-0.20,0.20,-0.02,,,0%
381,Alchemist Ltd.,201403,Indian Private Sector,1988,827.00,790.91,28.60,7.49,819.51,36.09,1%,,2%
382,Alchemist Realty Ltd.,201403,Indian Private Sector,1983,175.35,-9.19,184.34,0.20,175.15,184.54,0%,99.87%,0%
383,Alembic Defence Systems Ltd.,201403,Indian Private Sector,2004,,,,,,,,,0%
384,Alembic Ltd.,201403,Indian Private Sector,1907,144.22,33.75,97.93,12.54,131.68,110.47,9%,45.69%,4%
385,Alembic Pharmaceuticals Ltd.,201403,Indian Private Sector,2010,1840.19,754.94,766.72,318.53,1521.66,1085.25,17%,1.18%,29%
386,Alex Mercury Power Pvt. Ltd.,201403,Indian Private Sector,2009,0.00,0.00,,0.00,0.00,0.00,,,0%
387,Alfa Ica (India) Ltd.,201403,Indian Private Sector,1991,57.45,47.11,7.99,2.35,55.10,10.34,4%,,4%
388,Alfa Laval (India) Ltd.,201312,Foreign Private Sector,1937,1124.66,603.80,337.05,183.81,940.85,520.86,16%,21.68%,6%
389,Alfa Transformers Ltd.,201403,Indian Private Sector,1982,26.59,19.66,7.24,-0.31,26.90,6.93,-1%,1.28%,6%
390,Alfavision Overseas (India) Ltd.,201403,Indian Private Sector,1994,38.26,37.82,0.33,0.11,38.15,0.44,0%,0.00%,0%
391,Alfred Herbert (India) Ltd.,201403,Indian Private Sector,1919,1.14,0.09,1.08,-0.03,1.17,1.05,-3%,97.37%,0%
392,Alfred Herbert Ltd.,201403,Indian Private Sector,1988,16.00,11.13,4.71,0.16,15.84,4.87,1%,0.25%,0%
393,Alicon Castalloy Ltd.,201403,Indian Private Sector,1990,441.72,263.06,148.80,29.86,411.86,178.66,7%,1.63%,7%
394,Alivira Animal Health Ltd.,201403,Indian Private Sector,2013,0.00,0.44,0.81,-1.25,1.25,-0.44,,,0%
395,Alka Diamond Inds. Ltd.,201403,Indian Private Sector,1989,0.00,0.00,0.09,-0.09,0.09,0.00,,,0%
396,Alka India Ltd.,201309,Indian Private Sector,1993,0.00,0.00,0.36,-0.36,0.36,0.00,,,0%
397,Alka Securities Ltd.,201403,Indian Private Sector,1994,,,0.03,-0.03,0.03,,,,0%
398,Alkali Metals Ltd.,201403,Indian Private Sector,1968,66.35,38.53,28.57,-0.75,67.10,27.82,-1%,0.12%,6%
399,Alkem Laboratories Ltd.,201403,Indian Private Sector,1973,2696.45,1174.34,1140.92,381.19,2315.26,1522.11,14%,1.16%,38%
400,Alkor Petroo Ltd.,201403,Indian Private Sector,2002,,0.02,0.01,-0.03,0.03,-0.02,,,0%
401,Alkyl Amines Chemicals Ltd.,201403,Indian Private Sector,1979,447.80,250.06,122.30,75.44,372.36,197.74,17%,0.73%,4%
402,Alkyl Speciality Chemicals Ltd.,201403,Indian Private Sector,1999,0.44,0.03,0.05,0.36,0.08,0.41,82%,100.00%,0%
403,All Indian Origin Chemists & Distributors Ltd.,201403,Indian Private Sector,2007,12.87,8.98,5.46,-1.57,14.44,3.89,-12%,27.82%,2%
404,Allahabad Bank,201403,Central Government,1865,1225.66,,5901.37,-4675.71,5901.37,1225.66,-381%,,9%
405,Allahabad Waste Processing Co. Ltd.,201403,Indian Private Sector,2010,6.69,-0.07,7.82,-1.06,7.75,6.76,-16%,86.40%,0%
406,Allana Cold Storage Pvt. Ltd.,201403,Indian Private Sector,1973,685.69,532.77,50.32,102.60,583.09,152.92,15%,0.26%,1%
407,Allana Frozen Foods Pvt. Ltd.,201403,Indian Private Sector,1979,128.02,107.76,6.28,13.98,114.04,20.26,11%,,0%
408,Allana Investments & Trdg. Co. Pvt. Ltd.,201403,Indian Private Sector,1979,1148.21,939.52,101.41,107.28,1040.93,208.69,9%,0.28%,1%
409,Allanasons Pvt. Ltd.,201403,Indian Private Sector,1973,10467.11,9490.56,735.03,241.52,10225.59,976.55,2%,0.00%,13%
410,Allbank Finance Ltd.,201403,Central Government,1951,2.06,0.04,1.01,1.01,1.05,2.02,49%,,0%
411,Allcargo Logistics Ltd.,201403,Indian Private Sector,1993,1003.73,22.20,895.99,85.54,918.19,981.53,9%,96.83%,1%
412,Allcheckdeals India Pvt. Ltd.,201403,Indian Private Sector,2008,10.74,0.00,11.70,-0.96,11.70,10.74,-9%,100.00%,37%
413,Allen Laboratories Ltd.,201403,Indian Private Sector,1981,15.32,9.41,5.31,0.60,14.72,5.91,4%,0.72%,18%
414,Alliance Coffee Ltd. [Merged],201403,Indian Private Sector,2005,,,0.00,0.00,0.00,,,,0%
415,Alliance Integrated Metaliks Ltd.,201306,Indian Private Sector,1989,170.71,142.73,12.40,15.58,155.13,27.98,9%,0.00%,1%
416,Alliance Medicorp (India) Ltd.,201403,Indian Private Sector,2008,3.64,0.02,4.40,-0.78,4.42,3.62,-21%,93.96%,0%
417,Allied Computers Intl. (Asia) Ltd.,201403,Indian Private Sector,2002,0.60,0.26,0.35,-0.01,0.61,0.34,-2%,0.00%,0%
418,Allied Digital Services Ltd.,201403,Indian Private Sector,1995,156.60,90.29,70.28,-3.97,160.57,66.31,-3%,94.90%,3%
419,Allied Global Infrastructure Ltd.,201403,Indian Private Sector,1981,,,16.34,-16.34,16.34,,,,0%
420,Allied Herbals Ltd.,201403,Indian Private Sector,1985,,,0.02,-0.02,0.02,,,,0%
421,Allied Photographics East India Ltd.,201403,Foreign Private Sector,2008,,,,,,,,,0%
422,Allied Photographics India Ltd.,201403,Foreign Private Sector,1946,9.15,7.37,2.37,-0.59,9.74,1.78,-6%,5.14%,5%
423,Allium Finance Pvt. Ltd.,201403,Indian Private Sector,2008,0.09,0.00,4.46,-4.37,4.46,0.09,-4856%,,0%
